PLAYER,TEAM,G,FPTS,SNAPS,TGT,REC,CATCH RATE,REC YDS,YPR,REC TD
"Alec Ingold","Miami Dolphins",17,24.9,449,16,13,0.813,119,9.2,0
"Tank Bigsby","Jacksonville Jaguars",16,24.8,134,5,1,0.2,6,6,0
"Nick Chubb","Cleveland Browns",2,23.1,52,4,4,1,21,5.3,0
"Kevin Harris","New England Patriots",4,21.3,34,3,3,1,58,19.3,0
"Trey Sermon","Indianapolis Colts",12,20.3,101,6,3,0.5,13,4.3,0
"Ronnie Rivers","Los Angeles Rams",9,20.1,131,5,5,1,22,4.4,0
"Melvin Gordon III","",4,19.7,55,3,3,1,46,15.3,0
"Isaiah Spiller","Los Angeles Chargers",9,19,106,6,6,1,34,5.7,0
"Damien Harris","",6,19,60,2,2,1,16,8,0
"Israel Abanikanda","New York Jets",6,18.3,75,11,7,0.636,43,6.1,0
"Tyler Goodson","Indianapolis Colts",6,18.1,49,9,6,0.667,34,5.7,0
"Boston Scott","Los Angeles Rams",15,17.8,140,6,4,0.667,52,13,0
"Raheem Blackshear","Carolina Panthers",11,17.1,56,7,6,0.857,45,7.5,0
"Deuce Vaughn","Dallas Cowboys",6,15,67,7,7,1,40,5.7,0
"Trayveon Williams","Cincinnati Bengals",17,14.9,308,9,7,0.778,10,1.4,0
"Emanuel Wilson","",7,14.8,33,5,4,0.8,23,5.8,0
"Keaontay Ingram","Kansas City Chiefs",8,14,111,4,4,1,26,6.5,0
"La'Mical Perine","Pittsburgh Steelers",5,14,97,5,3,0.6,33,11,0
"Mike Boone","Carolina Panthers",9,13.3,120,9,7,0.778,40,5.7,0
"Eric Gray","New York Giants",9,13,73,7,6,0.857,22,3.7,0
"Hunter Luepke","Dallas Cowboys",17,12.7,293,4,3,0.75,18,6,0
"DeeJay Dallas","Arizona Cardinals",17,12.2,221,9,6,0.667,26,4.3,0
"J.K. Dobbins","Los Angeles Chargers",1,11.7,28,3,2,0.667,15,7.5,0
"Gary Brightwell","",7,11.6,90,7,5,0.714,47,9.4,0
"Nick Bawden","New York Jets",16,11.5,275,3,3,1,21,7,0
"Brandon Bolden","",17,11.1,158,0,0,0,0,0,0
"Chris Brooks","Miami Dolphins",7,10.6,74,0,0,0,0,0,0
"C.J. Ham","Minnesota Vikings",17,10.2,348,10,7,0.7,25,3.6,0
"Ty Montgomery II","",13,9.9,147,12,5,0.417,40,8,0
"Damien Williams","",3,7.5,27,2,2,1,12,6,0
"Dare Ogunbowale","Houston Texans",12,7.3,224,7,2,0.286,18,9,0
"Michael Burton","Denver Broncos",17,6.7,340,3,3,1,8,2.7,0
"Ke'Shawn Vaughn","",6,6.4,61,5,2,0.4,2,1,0
"Khari Blasingame","Chicago Bears",16,5.8,277,6,3,0.5,2,0.7,0
"Sean Tucker","Tampa Bay Buccaneers",7,5.2,53,2,2,1,9,4.5,0
"Rashaad Penny","Carolina Panthers",3,4.8,30,1,1,1,5,5,0
